A Studious Champion - Ghost,"The Champion has been practicing the fighting styles of others. In this fight, he has the abilities of Ghost."
A Studious Champion - Hercules,"The Champion has been practicing the fighting styles of others. In this fight, he has the abilities of Hercules, except Bleed and Poison Resistance."
A Studious Champion - Juggernaut,"The Champion has been practicing the fighting styles of others. In this fight, he has the abilities of Juggernaut."
A Studious Champion - Red Guardian,"The Champion has been practicing the fighting styles of others. In this fight, he has the abilities of Red Guardian, except Buff Immunity."
A Studious Champion - Shang-Chi,"The Champion has been practicing the fighting styles of others. In this fight, he has the abilities of Shang-Chi."
A Studious Champion - Sunspot,"The Champion has been practicing the fighting styles of others. In this fight, he has the abilities of Sunspot, except Incinerate Immunity."
Abated Aegis - 1,"Every 16 seconds the Defender gains a Protection Passive, reducing all incoming damage by 20%. All Protection Passives are removed whenever the Defender is struck by a Striker while they are inflicted with a Heal Block effect. While the Defender does not have one of these Protection Passives, the Attacker gains 50% of their base Attack Rating."
Abated Aegis - 2,"Every 14 seconds the Defender gains a Protection Passive, reducing all incoming damage by 20%. All Protection Passives are removed whenever the Defender is struck by a Striker while they are inflicted with a Heal Block effect. While the Defender does not have one of these Protection Passives, the Attacker gains 50% of their base Attack Rating."
Abated Aegis - 3,"Every 12 seconds the Defender gains a Protection Passive, reducing all incoming damage by 20%. All Protection Passives are removed whenever the Defender is struck by a Striker while they are inflicted with a Heal Block effect. While the Defender does not have one of these Protection Passives, the Attacker gains 50% of their base Attack Rating."
Ability Power Rate Alteration Immune,"The Defender is immune to effects that alter Ability Power Rate, including Petrify."
Abyssal Evolution,The Defender's Abilities have been altered and improved by the chaotic energy of the Abyss.
Academic Constitution,"Science Attackers reduce the potency of the Defender's Poison effects by 85%. Additionally, whenever a Science Attacker Dodges an attack or performs a Well-Timed block all their Poison Debuffs and Passives are removed."
Accident Prone,"Every 5 second(s) the Attacker is inflicted with a Debuff in the order of Weakness, Disorient, Armor Break and then Special Lock before repeating, each lasting 10 second(s)."
Acclimation,"Every 5 hits on their Combo Meter, Mutant Attackers Purify all Bleed, Incinerate, and Coldsnap Debuffs currently on them. Any Debuffs Purified this way provide the Attacker with 10% of a Bar of Power."
Achilles Heel - 1,"The Defender takes 20% reduced damage from all sources except Special Attacks, Heavy Attacks and Unblockable Attacks."
Achilles Heel - 2,"The Defender takes 50% reduced damage from all sources except Special Attacks, Heavy Attacks and Unblockable Attacks."
Achilles Heel - 3,"The Defender takes 70% reduced damage from all sources except Special Attacks, Heavy Attacks and Unblockable Attacks."
Acid Wash,"Poison Debuffs and Passives deal 25% more damage to the Defender, and they take 90% less damage from all sources unless they are inflicted with a Poison Debuff or Passive."
Acidic Erosion,Each time the Defender is inflicted with a Poison they gain a Passive Fury increasing Attack Rating by 15%. Max stacks 20.
Acidic Improvement,Every 7 seconds the next Poison inflicted on the Attacker grants them a Passive Fury increasing Attack Rating by 20%.
Act of Vengeance - 1,When the Defender’s attacks are Blocked while the Attacker has a Power Sting effect there is a 25% chance to inflict the Attacker with a 100% Retribution Debuff for 20 seconds.
Act of Vengeance - 2,When the Defender’s attacks are Blocked while the Attacker has a Power Sting effect there is a 50% chance to inflict the Attacker with a 100% Retribution Debuff for 20 seconds.
Act of War - 1,"At the start of the fight, the Attacker's Block Proficiency decays to 0 over 60 seconds. At zero the Defender becomes Passively Unblockable. The Attacker's Block Proficiency resets to full whenever they activate a Striker."
Act of War - 2,"At the start of the fight, the Attacker's Block Proficiency decays to 0 over 30 seconds. At zero the Defender becomes Passively Unblockable. The Attacker's Block Proficiency resets to full whenever they activate a Striker."
Act of War - 3,"At the start of the fight, the Attacker's Block Proficiency decays to 0 over 15 seconds. At zero the Defender becomes Passively Unblockable. The Attacker's Block Proficiency resets to full whenever they activate a Striker."
Active Pursuit,"While the Defender has a Pursuit Passive active, the Attacker is inflicted with a Fear Passive."
Active Regeneration,"The Defender is Immune to Heal Block. Every time the Defender is struck, they have a 70% chance to Passively Regenerate 70% of the hit damage received over 3 seconds."
Adamant Axiom,The effects of Quest and Battlegrounds Nodes cannot have their Ability Accuracy modified.
Adapt Boost (Enhancement),"Each time a Fury Buff is gained, gain an indefinite 10% Intensify Buff. Max stacks: 5."
Adaptive (Buff),"When the Defender is struck, they gain either an indefinite +4% Physical Resistance or Energy Resistance Buff. The type of Buff gained cycles every 8 seconds, starting with Physical Resistance, and only one can be gained per cycle."
Adaptive (Passive),"When the Defender is struck, they gain either an indefinite +4% Physical Resistance or Energy Resistance Passive. The type of Passive gained cycles every 8 seconds, starting with Physical Resistance, and only one can be gained per cycle."
Adaptive Override,"All of the Attacker's Special Attacks and Basic Attacks are overridden to be Contact Attacks and to deal only Physical Damage or only Energy Damage. The Attacker starts with Physical Damage and whenever the Attacker knocks the Defender down with a Heavy Attack, this damage override cycles."
Adaptive Power Shield,The Defender takes 90% reduced damage from all sources except Special Attacks. While performing a Special Attack the Attacker gains +200% Attack Rating for each bar of Power spent.
Adrenaline Defense - 1,The Defender stores 20% of damage taken as Adrenaline.
Adrenaline Defense - 2,The Defender stores 30% of damage taken as Adrenaline.
Adrenaline Defense - 3,The Defender stores 40% of damage taken as Adrenaline.
Adrenaline Enabled,"When taking damage, a portion of the Health Bar remains for a short duration. Landing attacks regain some of that Health."
Adrenaline Junkie - 1,"At the start of the fight and whenever they are knocked down, the Defender gains a non-stacking 70% Stimulate Passive for 4 seconds."
Adrenaline Junkie - 2,"At the start of the fight and whenever they are knocked down, the Defender gains a non-stacking 70% Stimulate Passive for 8 seconds."
Adrenaline Junkie - 3,"At the start of the fight and whenever they are knocked down, the Defender gains a non-stacking 70% Stimulate Passive for 12 seconds."
Adrenaline Rush,"The Attacker gains up to 100% Damage Reduction at all times, scaling with their current Adrenaline. Adrenaline is gained after being Struck."
Adrenochrome,"When the Defender activates a Special Attack, they gain a Fury Passive increasing Attack Rating by 1,000% for 20 second(s). This Fury starts paused and unpauses after the Special Attack has finished. For every Debuff on the Defender when they activate a Special, the Fury's duration is reduced by 4 second(s) to a minimum of 1. When this Fury expires, the Defender takes a burst of Damage equal to 200% of the Attacker's Attack."
Advanced Force Field,"If Guardian is affected by a Debuff, Force Field Charges are gained an additional 6 second(s) faster."
Adverse Reaction - 1,"Whenever a Debuff is Purified, removed, or expires on the Defender, they immediately gain 5% of a Bar of Power. This does not trigger when a Debuff is prevented by Immunity."
Adverse Reaction - 2,"Whenever a Debuff is Purified, removed, or expires on the Defender, they immediately gain 10% of a Bar of Power. This does not trigger when a Debuff is prevented by Immunity."
Adverse Reaction - 3,"Whenever a Debuff is Purified, removed, or expires on the Defender, they immediately gain 15% of a Bar of Power. This does not trigger when a Debuff is prevented by Immunity."
Adverse Reaction - 4,"Whenever a Debuff is Purified, removed, or expires on the Defender, they immediately gain 20% of a Bar of Power. This does not trigger when a Debuff is prevented by Immunity."
Aegis (Heavy) 1,The Defender begins with 2 Indestructible charges. Each Heavy Attack strike against the Defender removes 1 charge.
Aegis (Heavy) 2,The Defender begins with 4 Indestructible charges. Each Heavy Attack strike against the Defender removes 1 charge.
Aegis (Heavy) 3,The Defender begins with 6 Indestructible charges. Each Heavy Attack strike against the Defender removes 1 charge.
Aegis (Intercept) 1,The Defender begins with 1 Indestructible charges. Intercepting the Defender's Attack removes 1 charge.
Aegis (Intercept) 2,The Defender begins with 2 Indestructible charges. Intercepting the Defender's Attack removes 1 charge.
Aegis (Intercept) 3,The Defender begins with 3 Indestructible charges. Intercepting the Defender's Attack removes 1 charge.
Against the Ropes,"While the Defender’s back is against the wall, the Attacker takes 25% of the Defender’s Base Attack as Direct Damage when they strike the Defender with Contact attacks."
Aggravate,While the Attacker is suffering from a Debuff their Defensive Ability Accuracy is reduced by -50%.
Aggression (Armor Up),"Every 2 seconds, the Defender gains an indefinite +50% Armor Up Passive. When they are struck, reset the timer and remove a stack."
Aggression (Cruelty),"Every 2 seconds, the Defender gains an indefinite +150% Cruelty Passive. When they are struck, reset the timer and remove a stack."
Aggression (Fury),"Every 2 seconds, the Defender gains an indefinite +50% Fury Passive. When they are struck, reset the timer and remove a stack."
Aggression (Precision),"Every 2 seconds, the Defender gains an indefinite +25% Precision Passive. When they are struck, reset the timer and remove a stack."
Aggression (Prowess),"Every 2 seconds, the Defender gains an indefinite +50% Prowess Passive. When they are struck, reset the timer and remove a stack."
Aggression (Regeneration),"Every 2 seconds, the Defender gains an indefinite Regeneration Passive that heals for 0.25% of their Max Health every second. When they are struck, reset the timer and remove a stack."
Agile Reflector,Scytalis' Corrupted Armor gains a 50% chance to reflect incoming Stun effects. This effect is disabled while Scytalis is under the effect of an Armor Break Debuff.
Agile Reversal,"The Attacker starts with 6 Light Charge(s), 6 Medium Charge(s), and 3 Heavy Charge(s). A Charge is removed whenever the Attacker lands a corresponding Attack, and all Charges are reset when the Attacker lands a Special Attack. When any Charge reaches 0, the Defender reduces the duration of Stuns by 20% every 4 seconds until Charges are reset."
All Natural,The Attacker cannot gain Buffs and the Defender cannot be inflicted with any Debuffs.
All-out Attacks,"Increase Attackers Ability Accuracy by a Flat 10% and increase the potency of all “Attack Enhancement” Hacks by 50%. If the Attacker has a Relic equipped, double the Potency of effects granted by this Hack."
All-out Effects,"Attackers gain 10% increased Buff and Debuff Duration and increase the potency of all “Reinforcement” Hacks by 30%. If the Attacker has a Relic equipped, double the Potency of effects granted by this Hack."
Alliance War Defender Masteries 2.0,"A bundle of Masteries commonly used on AvA Defense, updated with Despair, Unfazed, and Deep Wounds"
Alliance War Defender Masterys,A bundle of Masterys commonly used on AvA Defense
Alternating Current - 1,"Every 7 seconds the Attacker is inflicted with a Shock Debuff dealing 10% of the Defender's Attack Rating as Energy Damage over 20 seconds. Each of the Attacker's Well-Timed Blocks converts 1 Shock Debuff into an Energy Resistance Buff, increasing Energy Resistance by 10% for 20 seconds."
Alternating Current - 2,"Every 5 seconds the Attacker is inflicted with a Shock Debuff dealing 10% of the Defender's Attack Rating as Energy Damage over 20 seconds. Each of the Attacker's Well-Timed Blocks converts 1 Shock Debuff into an Energy Resistance Buff, increasing Energy Resistance by 10% for 20 seconds."
Alternating Current - 3,"Every 3 seconds the Attacker is inflicted with a Shock Debuff dealing 10% of the Defender's Attack Rating as Energy Damage over 20 seconds. Each of the Attacker's Well-Timed Blocks converts 1 Shock Debuff into an Energy Resistance Buff, increasing Energy Resistance by 10% for 20 seconds."
Alternating Enhancements,"If the Attacker ends a Combo differently than last used, they gain a 20% Prowess Buff for 12 seconds. When striking, the Attacker has a 10% chance per Prowess effect on them to be Passively Unblockable for their hit, this can trigger through Block. If the Attacking Champion has a Relic Equipped, double the chance to go Unblockable."
Always Forward,The Defender cannot heal above the amount of Health they started the fight with.
Amped Up,"Female Attackers gain +25% Attack Rating. Additionally, the effects from Class Advantage are 50% more potent."
Anamnesis,Break the normal limitations of a Genetic Memory with perfect recollection of up to 20 effects.
Ancient Atomics,All Attacker classes but Science and Mystic reduce their Attack by 50%.
Ancient Knowledge,All Champion classes but Mystic reduce their Base Attack by 50%.
Ancient Overclock,All Attacker classes but Tech and Mystic reduce their Attack by 50%.
Ancient Overclock Wrath,Tech and Mystic Attackers gain 25% Attack Rating.
Ancient Perfection,All Attacker classes but Skill and Mystic reduce their Attack by 50%.
Anger Management - 1,"Fury effects on the Attacker are 25% more potent, but the Defender takes 30% less damage from all sources unless the Attacker has a Fury effect active."
Anger Management - 2,"Fury effects on the Attacker are 25% more potent, but the Defender takes 50% less damage from all sources unless the Attacker has a Fury effect active."
Anger Management - 3,"Fury effects on the Attacker are 25% more potent, but the Defender takes 75% less damage from all sources unless the Attacker has a Fury effect active."
Anger Management - 4,"Fury effects on the Attacker are 25% more potent, but the Defender takes 90% less damage from all sources unless the Attacker has a Fury effect active."
Ankh of the Necropolis I,The Attacker's damage-per-hit is capped at 1.5% of the Defender's maximum Health.
Ankh of the Necropolis II,The Defender's Special 3 is enabled and gains 800% additional Attack Rating.
Ankh of the Necropolis III,"The Attacker’s Immortality and Indestructible Buffs have their durations reduced by 1,000%, and the Willpower Mastery has its potency reduced by 50%."
Ankh of the Necropolis IV,"The Defender starts with a number of Vengeance charges equal to the Attacker’s Challenge Rating. The Defender loses a Vengeance charge every second. This timer is paused during either Champion’s Special Attacks or while a Striker is attacking. Each time a Striker is activated by the Attacker, the Defender gains 6 Vengeance charges. Effects that reduce the Ability Accuracy of all abilities cannot reduce the Defender's Abilities below 50% Ability Accuracy unless the Attacker has Class Advantage. While the Defender has half of their starting Vengeance Charges or less, they gain +200% Attack Rating, effects that reduce the Ability Accuracy of all abilities cannot reduce the Defender's Ability Accuracy unless the Attacker has Class Advantage, and the Attacker is Passively Rooted during the Defender’s Special Attacks. While the Defender has 0 Vengeance Charges, they are Stun Immune, Immune to all forms of Power manipulation, Passively Unblockable, and they gain 15% of a Bar of Power every second while the Attacker is not within striking distance."
Annihilate Boost (Enhancement),"Each time the Attacker gains an Unstoppable Buff, the Attacker gains an Extend Passive, extending the duration of all Buffs by 10% for 30 seconds."
Antagonistic,"Each time a Mutant Attacker knocks the Defender down with a Heavy Attack, the Attacker gains an Unblockable Buff lasting for 3 second(s), plus 2 second(s) for each Buff on the Attacker. Max duration of 9 second(s)."
Apex Manufacture,"Sentinel gains Analysis Charges at twice the normal rate, and their attacks deal 1% additional Direct Damage per Charge."
Apex Predators,"Every 30 second(s), all Buffs on both Champions are Nullified. The Champion with the most Buffs Nullified this way gains a Fury Passive, increasing Attack Rating by 500% and an Unblockable Passive, both lasting for 10 second(s). When the Fury expires, the timer restarts. In the event of a tie, both Champions gain the Fury and Unblockable Passives."
Aptitude Test - 1,"The Attackers Aptitude effects are 25% more potent, and the Defender takes 50% less damage from all sources unless the Attacker has an Aptitude active."
Aptitude Test - 2,"The Attackers Aptitude effects are 25% more potent, and the Defender takes 75% less damage from all sources unless the Attacker has an Aptitude active."
Aptitude Test - 3,"The Attackers Aptitude effects are 25% more potent, and the Defender takes 90% less damage from all sources unless the Attacker has an Aptitude active."
Arc Converter,"When damaged by a Special Attack and Stark Tech AI is active, this enemy gains 1 bar of Power."
Arc Overload - 1,"At the start of the fight and then every 20 seconds, the Defender gains a 25% Armor Up Buff and a Regeneration Buff, healing 25% of their Max Health. These Buffs last for 6 seconds."
Arc Overload - 2,"At the start of the fight and then every 15 seconds, the Defender gains a 25% Armor Up Buff and a Regeneration Buff, healing 25% of their Max Health. These Buffs last for 6 seconds."
Arc Overload - 3,"At the start of the fight and then every 10 seconds, the Defender gains a 25% Armor Up Buff and a Regeneration Buff, healing 25% of their Max Health. These Buffs last for 6 seconds."
Arcane Mastery - 1,"Mystic Attackers steal up to 10% of the Defender's current Power with each hit of their Special Attack, while Science Attackers have a 10% chance to place a Falter Debuff on the Opponent with Well-Timed Blocks lasting 2 Seconds."
Arcane Mastery - 2,"Mystic Attackers steal up to 15% of the Defender's current Power with each hit of their Special Attack, while Science Attackers have a 15% chance to place a Falter Debuff on the Opponent with Well-Timed Blocks lasting 3 seconds. Cosmic Attackers have a 50% chance to Nullify all Buffs on themselves when activating a Special Attack."
Arcane Mastery - 3,"Mystic Attackers steal up to 20% of the Defender's current Power with each hit of their Special Attack, while Science Attackers have a 20% chance to place a Falter Debuff on the Opponent with Well-Timed Blocks lasting 4 seconds. Cosmic Attackers have a 75% chance to Nullify all Buffs on themselves when activating a Special Attack."
Arcane Torrent,"For each Buff on the Defender, Mystic Attackers gain: +25% Ability Accuracy +10% Attack +25% Bleed Debuff Duration +25% Armor Break Debuff Duration +10% Power Rate"
Arcane Zeal,Whenever a Mystic Attacker fills a Bar of Power they gain a Passive Fury increasing Attack Rating by 70% for 15 seconds. Nullifying a Buff from the Defender or preventing one from triggering converts all temporary Fury Passives into indefinite ones. Max stacks 5.
Archaos,"At the start of the fight, and at the end of each Champions' Special Attacks, one of the following indefinate effects is randomly applied to each Champion: Fatigue, Armor Break, Weakness, Disorient, Bleed, Shock, Tranquilize, Crush, Precision, Armor Up, Fury, Prowess, Regeneration, Cruelty, Resistance Up, Unblockable."
Arena of Fear,Both Champions start the fight with an indefinite Fear Passive.
Armor Burn,"For each Armor up buff on the Attacker, to a max of 5, attacks burn 0% of the Defender's current power. Knocking Down the Defender grants Attackers a 0 second armor up buff granting 0 Armor Rating. Additionally each time the Attacker Power Burns, or Drains the Defender Invalidates 0 Prowess effects from them."
Armor Burst,The Attacker’s Basic Attacks have a 40% chance to grant them a +40% Armor Up Buff for 8 seconds. The final hit of the Attacker's Special Attacks deal a burst of Direct Damage scaling with their current Armor percentage. Min: 14% of Attack. Max: 126% of Attack.
Armor Erasure,"If the Attacker is Mystic or has TAGtical Edge, they gain a Cross Charge each time they Nullify an Armor Up Buff, including by Armor Break, or prevent an Armor Up Buff from triggering. Max stacks 10."
Armor Infection,"Bahamet’s Corrupted Armor cooldown is increased by 9 second(s), but every 10 second(s) the Attacker gains Armor Infection, decreasing the duration of the Corrupted Armor cooldown by 3 second(s). Max 6. When the Attacker intercepts Bahamet or inflicts an Armor Break Debuff, one Armor Corruption is removed."
Armor Overwhelming,"Each Armor Up effect on the Attacker boosts Special Attack Damage by 15% and count as Prowess effects during Phase 4 - Final Objective. Additionally, when blocking Scytalis' Counter Attack Evade the Attacker is also inflicted with an Armor Break Debuff reducing Armor Rating by 15% for 10 seconds."
Armor Shard Weaponry,"When inflicted with an Armor Break Debuff, the Defender gains a Fury Passive increasing Attack Rating by +30% for 10 seconds."
Armored and Charged - 1,"When the Defender gains an Armor Up effect, they gain an indefinite non-stacking Power Gain Buff granting 1% of Max Power per second. Whenever the Defender is inflicted with an Armor Break, they are Power Drained for 3% of their Max Power. When any Armor Up effect on the Defender ends for any reason, the Power Gain is removed and the Defender is Power Drained for 33% of their Max Power."
Armored and Charged - 2,"When the Defender gains an Armor Up effect, they gain an indefinite non-stacking Power Gain Buff granting 3% of Max Power per second. Whenever the Defender is inflicted with an Armor Break, they are Power Drained for 3% of their Max Power. When any Armor Up effect on the Defender ends for any reason, the Power Gain is removed and the Defender is Power Drained for 33% of their Max Power."
Armored and Charged - 3,"When the Defender gains an Armor Up effect, they gain an indefinite non-stacking Power Gain Buff granting 5% of Max Power per second. Whenever the Defender is inflicted with an Armor Break, they are Power Drained for 3% of their Max Power. When any Armor Up effect on the Defender ends for any reason, the Power Gain is removed and the Defender is Power Drained for 33% of their Max Power."
Armored Assault,While the Defender has a Armor Up Buff active they gain +65% attack rating and they become Passively Unblockable.
Armored Core - 1,"Tech Attackers apply 100% of their Armor value to their Attack. Whenever a Tech Attacker activates a Special Attack, they gain a 30% Attack Boost for each Armor Up effect they have active for the duration of the Special."
Armored Core - 2,"Tech Attackers apply 75% of their Armor value to their Attack. Whenever a Tech Attacker activates a Special Attack, they gain a 20% Attack Boost for each Armor Up effect they have active for the duration of the Special."
Armored Core - 3,"Tech Attackers apply 50% of their Armor value to their Attack. Whenever a Tech Attacker activates a Special Attack, they gain a 10% Attack Boost for each Armor Up effect they have active for the duration of the Special."
Armored Striker - 1,"Whenever a Tech Attacker activates a Striker, they gain 3 Armor Up Buffs increasing Armor by 30% for 20 seconds. These Armor Ups are paused while the Striker is active."
Armored Striker - 2,"Whenever a Tech Attacker activates a Striker, they gain 3 Armor Up Buffs increasing Armor by 20% for 15 seconds. These Armor Ups are paused while the Striker is active."
Armored Striker - 3,"Whenever a Tech Attacker activates a Striker, they gain 3 Armor Up Buffs increasing Armor by 10% for 10 seconds. These Armor Ups are paused while the Striker is active."
Arms Race,"Both the Attacker and Defender gain a Passive Fury during their Special Attacks based on the Defender's Power. While below 1 Bar of Power, they gain +25% Attack. While between 1 and 2 Bars of Power, they gain +75% Attack. While above 2 Bars of Power, they gain +200% Attack."
Arrogance,"Every 10 Hits on the Attacker's Combo Meter afflicts them with a Falter Passive. Falter causes their attacks to Miss, and lasts 3 second(s). When the Attacker is Struck, Falter is removed."
Arrogance - 1,"Every 20 Hits on the Attacker's Combo Meter afflicts them with a Falter Passive. Falter causes their attacks to Miss, and lasts 3 second(s). When the Attacker is Struck, Falter is removed."
Arrogance - 2,"Every 15 Hits on the Attacker's Combo Meter afflicts them with a Falter Passive. Falter causes their attacks to Miss, and lasts 3 second(s). When the Attacker is Struck, Falter is removed."
Arrow To The Knee,Kate is more likely to activate Special Attack 2 and it is always a Perfect Release.
Arrow To The Knee - 1,"The Defender starts the fight with 3 indefinite Cruelty Passives, each increasing Critical Damage Rating by 20%. Interrupting the Defender's Heavy Attack transfers 1 Cruelty Passive to the Attacker."
Arrow To The Knee - 2,"The Defender starts the fight with 5 indefinite Cruelty Passives, each increasing Critical Damage Rating by 20%. Interrupting the Defender's Heavy Attack transfers 1 Cruelty Passive to the Attacker."
Arrow To The Knee - 3,"The Defender starts the fight with 7 indefinite Cruelty Passives, each increasing Critical Damage Rating by 20%. Interrupting the Defender's Heavy Attack transfers 1 Cruelty Passive to the Attacker."
Aspect of Chaos,"Every 10 seconds, the Attacker and Defender temporarily switch Health Bars for 4 seconds, and then switch back."
Aspect of Death,"As this Defender activates a Special Attack, their successful hits become lethal for 4 seconds plus 1 additional second(s) for each knocked out member of the Attacker's team."
Aspect of Evolution,"Whenever this Defender fills a bar of Power, they raise their Attack, Armor, Critical Rating, Critical Resitance, Block Penetration, Combat Power Rate, and Ability Accuracy attributes by 5% for the remainder of the fight."
Aspect of Genesis,"Once per fight, when this Defender drops below 15% Health, they Regenerate 24% Health over 6 seconds and nearby Attackers Degenerate or Regenerate the inverse amount."
Aspect of Nightmares,"Attackers take Direct Damage equal to 50% Health over 12 seconds, but then Regenerate 50% Health instantly."
Aspect of War,"At the start of the fight, the Attacker's Block Proficiency begins to decay to 0 over 50 seconds and this Defender is Unblockable against enemies with 0 Block Proficiency. In addition, this Defender gains Unstoppable and Stun Immunity for 6 seconds when activating a Special Attack. The Unstoppable effect is removed prematurely if the player intercepts any Dash or Heavy attack."
Assassin Striker - 1,"Whenever a Skill Attacker activates a Striker, they gain 3 Cruelty Buffs increasing Critical Damage Rating by 30% for 20 seconds. These Crueltys are paused while the Striker is active."
Assassin Striker - 2,"Whenever a Skill Attacker activates a Striker, they gain 3 Cruelty Buffs increasing Critical Damage Rating by 20% for 15 seconds. These Crueltys are paused while the Striker is active."
Assassin Striker - 3,"Whenever a Skill Attacker activates a Striker, they gain 3 Cruelty Buffs increasing Critical Damage Rating by 10% for 10 seconds. These Crueltys are paused while the Striker is active."
Assault Battery - 1,"At the start of the fight the Defender takes no damage from any source and instead stores it in a Damage Battery. Whenever the Defender is knocked down by a Special Attack, the Battery is emptied and the Defender immediately takes 200% of the damage stored. Whenever the Attacker is knocked down, the Battery is emptied and the Attacker takes 100% of the damage stored."
Assault Battery - 2,"At the start of the fight the Defender takes no damage from any source and instead stores it in a Damage Battery. Whenever the Defender is knocked down by a Special Attack, the Battery is emptied and the Defender immediately takes 200% of the damage stored. Whenever the Attacker is knocked down, the Battery is emptied and the Attacker takes 150% of the damage stored."
Assault Battery - 3,"At the start of the fight the Defender takes no damage from any source and instead stores it in a Damage Battery. Whenever the Defender is knocked down by a Special Attack, the Battery is emptied and the Defender immediately takes 200% of the damage stored. Whenever the Attacker is knocked down, the Battery is emptied and the Attacker takes 200% of the damage stored."
Astral-Sense,"If the Defender would be struck by a Basic Attack while suffering from a Stun Debuff, they have a 100% chance to Purify it and Evade the attack."
At The Ready,"When the Attacker throws their Striker, they gain an Unblockable Buff for 6 seconds on the last hit of their Striker Attack plus an additional second for each Shock, Bleed, or Rupture effect on the Opponent when this Buff is applied."
Atheist,"#God and #Elder Attackers' damage is reduced by 95%, including Damage Over Time effects. #Robot, #Kree, and #Inhuman Attackers gain an indefinite Fury Passive increasing Attack Rating by 95% of Base Attack."
Atomic Overclock,All Attacker classes but Tech and Science reduce their Attack by 50%.
Atomic Perfection,All Attacker classes but Skill and Science reduce their Attack by 50%.
Attack Enhancement - Basic,Basic Attacks gain +16% Ability Accuracy and +24% Attack Rating.
Attack Enhancement - Heavy,Heavy Attacks gain +20% Ability Accuracy and +30% Attack Rating.
Attack Enhancement - Light,Light Attacks gain +20% Ability Accuracy and +40% Attack Rating.
Attack Enhancement - Medium,Medium Attacks gain +20% Ability Accuracy and +40% Attack Rating.
Attack Enhancement - Special,Special Attacks gain +20% Ability Accuracy and +20% Attack Rating.
Attack Surge - Buff Count,+4% Attack Rating for each Buff on the Attacker.
Attack Surge - Debuff Count,+4% Attack Rating for each Debuff on the Opponent.
Attack Surge - Resistances,The Attacker gains Attack Rating equals to whichever is higher between their Physical and Energy Resistances.
Attack Surge - Unique Buff Count,+8% Attack Rating for each unique Buff on the Attacker.
Attack Tactics (AW: Damage Over Time),"If the Attacker is #AW: Damage Over Time, while the Defender is inflicted with 0 or more Damaging Debuffs, they become Passively Heal Blocked. New Damaging Debuffs re-apply the Heal Block."
Attack Tactics (Bulwark),"If the Attacker is #Metal, whenever a Damage over Time Debuff is applied to the Defender, remove all Indestructible Buffs created by the Bulwark Defense Tactic."
Attack Tactics (Bulwark),"If the Attacker is #Metal, the potency of their Damage over Time effects is increased by 0% for each Damage over Time effect already on the Defender."
Attack Tactics (Flow),"If the Attacker is #Control, the last hit of their Heavy Attack reduces the potency of the Defender’s Power Gain effects by 0% for 0 second(s), stacking up to 0 time(s)."
Attack Tactics (Flow),"If the Attacker is #Control, their Well-Timed Blocks reduce the Defender’s Ability Power Rate by 0% for 0 second(s), stacking up to 0 time(s)."
Attack Tactics (Protect),"If the Attacker is #Size: L or #Size: XL and they knock down the Defender, all stacks of Protection from the Defense Tactic are removed."
Attack Tactics (Protect),"If the Attacker is #Size: L or #Size: XL, they gain an Unstoppable Passive for 0 second(s) whenever the Defender is knocked down."
